date,createdAt,timestamp,context,value
2024-05-13 18:03:39.381000-06:00,1715645019381,1715645019381,{},36.0
2024-05-13 18:03:38.346000-06:00,1715645018346,1715645018346,{},36.0
2024-05-13 18:03:37.326000-06:00,1715645017326,1715645017326,{},37.0
2024-05-13 18:03:36.273000-06:00,1715645016273,1715645016273,{},37.0
2024-05-13 18:03:35.121000-06:00,1715645015121,1715645015121,{},36.0
2024-05-13 18:03:34.235000-06:00,1715645014235,1715645014235,{},36.0
2024-05-13 18:03:33.198000-06:00,1715645013198,1715645013198,{},36.0
2024-05-13 18:03:32.160000-06:00,1715645012160,1715645012160,{},36.0
2024-05-13 18:03:31.105000-06:00,1715645011105,1715645011105,{},37.0
2024-05-13 18:03:30.067000-06:00,1715645010067,1715645010067,{},36.0
2024-05-13 18:03:29.046000-06:00,1715645009046,1715645009046,{},37.0
2024-05-13 18:03:28.004000-06:00,1715645008004,1715645008004,{},37.0
2024-05-13 18:03:26.958000-06:00,1715645006958,1715645006958,{},36.0
2024-05-13 18:03:25.944000-06:00,1715645005944,1715645005944,{},36.0
2024-05-13 18:03:24.875000-06:00,1715645004875,1715645004875,{},36.0
2024-05-13 18:03:23.850000-06:00,1715645003850,1715645003850,{},36.0
2024-05-13 18:03:22.810000-06:00,1715645002810,1715645002810,{},36.0
2024-05-13 18:03:21.777000-06:00,1715645001777,1715645001777,{},36.0
2024-05-13 18:03:20.720000-06:00,1715645000720,1715645000720,{},36.0
2024-05-13 18:03:19.731000-06:00,1715644999731,1715644999731,{},36.0
2024-05-13 18:03:18.680000-06:00,1715644998680,1715644998680,{},36.0
2024-05-13 18:03:17.644000-06:00,1715644997644,1715644997644,{},36.0
2024-05-13 18:03:16.603000-06:00,1715644996603,1715644996603,{},36.0
2024-05-13 18:03:15.574000-06:00,1715644995574,1715644995574,{},36.0
2024-05-13 18:03:14.555000-06:00,1715644994555,1715644994555,{},36.0
2024-05-13 18:03:13.479000-06:00,1715644993479,1715644993479,{},36.0
2024-05-13 18:03:12.459000-06:00,1715644992459,1715644992459,{},36.0
2024-05-13 18:03:11.732000-06:00,1715644991732,1715644991732,{},36.0
2024-05-13 18:03:10.392000-06:00,1715644990392,1715644990392,{},36.0
2024-05-13 18:03:09.352000-06:00,1715644989352,1715644989352,{},36.0
2024-05-13 18:03:08.197000-06:00,1715644988197,1715644988197,{},36.0
2024-05-13 18:03:07.282000-06:00,1715644987282,1715644987282,{},36.0
2024-05-13 18:03:06.243000-06:00,1715644986243,1715644986243,{},36.0
2024-05-13 18:03:05.218000-06:00,1715644985218,1715644985218,{},36.0
2024-05-13 18:03:04.189000-06:00,1715644984189,1715644984189,{},36.0
2024-05-13 18:03:03.134000-06:00,1715644983134,1715644983134,{},36.0
2024-05-13 18:03:02.093000-06:00,1715644982093,1715644982093,{},36.0
2024-05-13 18:03:01.046000-06:00,1715644981046,1715644981046,{},36.0
2024-05-13 18:03:00.018000-06:00,1715644980018,1715644980018,{},36.0
2024-05-13 18:02:59.056000-06:00,1715644979056,1715644979056,{},36.0
2024-05-13 18:02:57.930000-06:00,1715644977930,1715644977930,{},36.0
2024-05-13 18:02:56.911000-06:00,1715644976911,1715644976911,{},36.0
2024-05-13 18:02:55.880000-06:00,1715644975880,1715644975880,{},36.0
2024-05-13 18:02:54.851000-06:00,1715644974851,1715644974851,{},36.0
2024-05-13 18:02:53.674000-06:00,1715644973674,1715644973674,{},36.0
2024-05-13 18:02:52.797000-06:00,1715644972797,1715644972797,{},36.0
2024-05-13 18:02:51.723000-06:00,1715644971723,1715644971723,{},36.0
2024-05-13 18:02:50.702000-06:00,1715644970702,1715644970702,{},36.0
2024-05-13 18:02:49.655000-06:00,1715644969655,1715644969655,{},36.0
2024-05-13 18:02:48.489000-06:00,1715644968489,1715644968489,{},36.0
2024-05-13 18:02:47.587000-06:00,1715644967587,1715644967587,{},36.0
2024-05-13 18:02:46.569000-06:00,1715644966569,1715644966569,{},36.0
2024-05-13 18:02:45.503000-06:00,1715644965503,1715644965503,{},36.0
2024-05-13 18:02:44.487000-06:00,1715644964487,1715644964487,{},36.0
2024-05-13 18:02:43.437000-06:00,1715644963437,1715644963437,{},36.0
2024-05-13 18:02:42.400000-06:00,1715644962400,1715644962400,{},36.0
2024-05-13 18:02:41.373000-06:00,1715644961373,1715644961373,{},36.0
2024-05-13 18:02:40.325000-06:00,1715644960325,1715644960325,{},36.0
2024-05-13 18:02:39.298000-06:00,1715644959298,1715644959298,{},36.0
2024-05-13 18:02:38.124000-06:00,1715644958124,1715644958124,{},36.0
2024-05-13 18:02:37.251000-06:00,1715644957251,1715644957251,{},36.0
2024-05-13 18:02:36.189000-06:00,1715644956189,1715644956189,{},36.0
2024-05-13 18:02:35.021000-06:00,1715644955021,1715644955021,{},36.0
2024-05-13 18:02:34.132000-06:00,1715644954132,1715644954132,{},36.0
2024-05-13 18:02:33.078000-06:00,1715644953078,1715644953078,{},36.0
2024-05-13 18:02:32.040000-06:00,1715644952040,1715644952040,{},36.0
2024-05-13 18:02:31-06:00,1715644951000,1715644951000,{},36.0
2024-05-13 18:02:29.968000-06:00,1715644949968,1715644949968,{},36.0
2024-05-13 18:02:28.938000-06:00,1715644948938,1715644948938,{},36.0
2024-05-13 18:02:27.913000-06:00,1715644947913,1715644947913,{},36.0
